name,conference,units
Boston College,ACC,2
Clemson,ACC,10
Duke,ACC,3
Florida State,ACC,4
Georgia Tech,ACC,1
Louisville,ACC,7
Miami,ACC,8
NC State,ACC,4
North Carolina,ACC,9
Notre Dame,ACC,9
Pittsburgh,ACC,4
Syracuse,ACC,4
Virginia,ACC,4
Virginia Tech,ACC,8
Wake Forest,ACC,2
Cincinnati,American,7
East Carolina,American,1
Houston,American,4
Memphis,American,9
Navy,American,7
SMU,American,7
South Florida,American,1
Temple,American,2
Tulane,American,4
Tulsa,American,3
UCF,American,9
Baylor,Big 12,4
Iowa State,Big 12,6
Kansas,Big 12,1
Kansas State,Big 12,3
Oklahoma,Big 12,9
Oklahoma State,Big 12,8
TCU,Big 12,5
Texas,Big 12,8
Texas Tech,Big 12,2
West Virginia,Big 12,3
Illinois,Big Ten,999
Indiana,Big Ten,999
Iowa,Big Ten,999
Maryland,Big Ten,999
Michigan,Big Ten,999
Michigan State,Big Ten,999
Minnesota,Big Ten,999
Nebraska,Big Ten,999
Northwestern,Big Ten,999
Ohio State,Big Ten,999
Penn State,Big Ten,999
Purdue,Big Ten,999
Rutgers,Big Ten,999
Wisconsin,Big Ten,999
Charlotte,C-USA,4
Florida Atlantic,C-USA,6
Florida International,C-USA,3
Louisiana Tech,C-USA,6
Marshall,C-USA,5
Middle Tennessee,C-USA,4
North Texas,C-USA,3
Rice,C-USA,3
Southern Mississippi,C-USA,8
UAB,C-USA,9
UTEP,C-USA,1
UTSA,C-USA,2
Western Kentucky,C-USA,6
Army,Independent,4
BYU,Independent,6
Liberty,Independent,3
UMass,Independent,999
Akron,MAC,999
Ball State,MAC,999
Bowling Green,MAC,999
Buffalo,MAC,999
Central Michigan,MAC,999
Eastern Michigan,MAC,999
Kent State,MAC,999
Miami (OH),MAC,999
Northern Illinois,MAC,999
Ohio,MAC,999
Toledo,MAC,999
Western Michigan,MAC,999
Air Force,Mountain West,999
Boise State,Mountain West,999
Colorado State,Mountain West,999
Fresno State,Mountain West,999
Hawai'i,Mountain West,999
Nevada,Mountain West,999
New Mexico,Mountain West,999
San Diego State,Mountain West,999
San Jose State,Mountain West,999
UNLV,Mountain West,999
Utah State,Mountain West,999
Wyoming,Mountain West,999
Arizona,Pac-12,999
Arizona State,Pac-12,999
California,Pac-12,999
Colorado,Pac-12,999
Oregon,Pac-12,999
Oregon State,Pac-12,999
Stanford,Pac-12,999
UCLA,Pac-12,999
USC,Pac-12,999
Utah,Pac-12,999
Washington,Pac-12,999
Washington State,Pac-12,999
Alabama,SEC,10
Arkansas,SEC,1
Auburn,SEC,7
Florida,SEC,8
Georgia,SEC,8
Kentucky,SEC,5
LSU,SEC,8
Mississippi State,SEC,3
Missouri,SEC,2
Ole Miss,SEC,4
South Carolina,SEC,2
Tennessee,SEC,5
Texas A&M,SEC,7
Vanderbilt,SEC,1
Appalachian State,Sun Belt,10
Arkansas State,Sun Belt,6
Coastal Carolina,Sun Belt,3
Georgia Southern,Sun Belt,5
Georgia State,Sun Belt,3
Louisiana,Sun Belt,8
South Alabama,Sun Belt,2
Texas State,Sun Belt,1
Troy,Sun Belt,5
UL Monroe,Sun Belt,2
